time,D_avg,D_max,D_min,a,b,cauchy_stress_yy,strain,strain_rate
0,-nan,-inf,inf,0,0,0,0,nan
0.0001,0.067796610169491,0.067796610169492,0.067796610169492,0.004,0.059,2.6029646822795,2.9988e-05,0.29988
0.0003,0.086001750487639,0.31332112358629,0.067796610169492,0.0050741032787707,0.059,7.6861067883981,8.9964e-05,0.29988
0.0007,0.086919619681444,0.31332112358629,0.067796610169492,0.0051282575609891,0.058999999998624,19.78963590149,0.000209916,0.29988
0.0015,0.087145397012671,0.31332112358629,0.067796610169492,0.0051415784212318,0.058999999966316,44.034509515915,0.00044982,0.29988
0.0031,0.087201390281097,0.31332112358629,0.067796610169492,0.0051448820214926,0.058999999930261,92.51185468136,0.000929628,0.29988
0.0063,0.087216415996522,0.31332112358629,0.067796610169492,0.0051457685152699,0.058999999596744,188.82946477027,0.001889244,0.29988
0.0127,0.087232001206098,0.31332112358629,0.067796610169492,0.0051460429500143,0.058991669117707,298.63271511216,0.003808476,0.29988
0.0255,0.1167564774134,0.65886171281233,0.067796610169492,0.005175099764578,0.047088247118572,365.49581756503,0.00764694,0.29988
0.033346672002134,0.1905036131652,1,0.067796610169492,0.0052784633063433,0.03583357543156,387.94068149544,0.01,0.29988
